
Record#  PRONAME                        DES                     QTY      PRICE
    299  CHAUSSURES                     1559770                   2     257.02
    300  CHAUSSURES                     1559788                   2     257.02
    301  CHAUSSURES                     1559796                   2     257.02
    302  CHAUSSURES                     1559893                   1     128.51
    303  CHAUSSURES                     1559907                   1     128.51
    304  CHAUSSURES                     1559915                   1     128.51
    305  CHAUSSURES                     1560298                   1     154.23
    306  CHAUSSURES                     1560301                   1     154.23
    307  CHAUSSURES                     1560310                   1     154.23
    308  CHAUSSURES                     1560417                   2     308.46
    309  CHAUSSURES                     1560425                   2     308.46
    310  CHAUSSURES                     1560433                   2     308.46
    311  CHAUSSURES                     1560549                   1     143.94
    312  CHAUSSURES                     1560557                   1     143.94
    313  CHAUSSURES                     1560565                   1     143.94
    314  CHAUSSURES                     1560573                   1     143.94
    315  CHAUSSURES                     1560689                   1     128.51
    316  CHAUSSURES                     1560697                   2     257.02
    317  CHAUSSURES                     1560700                   2     257.02
    318  CHAUSSURES                     1560808                   1     128.51
    319  CHAUSSURES                     1560816                   1     128.51
    320  CHAUSSURES                     1560824                   1     128.51
    321  CHAUSSURES                     1560832                   1     128.51
    322  CHAUSSURES                     1561073                   2     267.32
    323  CHAUSSURES                     1561081                   2     267.32
    324  CHAUSSURES                     1561090                   2     267.32
    325  CHAUSSURES                     1561324                   1     133.66
    326  CHAUSSURES                     1561332                   1     133.66
    327  CHAUSSURES                     1561340                   1     133.66
    328  CHAUSSURES                     1561715                   2     329.02
    329  CHAUSSURES                     1561723                   2     329.02
    330  CHAUSSURES                     1561731                   2     329.02
    331  CHAUSSURES                     1561740                   2     329.02
    332  CEINTURE TUBE IMPRIM           1525034                   2      97.82
    333  CEINTURE TUBE IMPRIM           1525034                   2      97.82
    334  CALECON IMPRIME                1525050                   1     122.31
    335  CALECON IMPRIME                1525069                   2     244.62
    336  CALECON IMPRIME                1525077                   2     244.62
    337  CALECON IMPRIME                1525085                   1     122.31
    338  CHEMISE BOUTONNEE              1525131                   2     293.54
    339  CHEMISE BOUTONNEE              1525140                   2     293.54
    340  CHEMISE BOUTONNEE              1525158                   2     293.54
    341  CEINTURE TUBE IMPRIM           1525310                   2      97.82
    342  CEINTURE TUBE IMPRIM           1525310                   2      97.82
    343  CALECON IMPRIME                1525492                   2     244.62
    344  CALECON IMPRIME                1525506                   3     366.93
    345  CALECON IMPRIME                1525514                   3     366.93
    346  CALECON IMPRIME                1525522                   2     244.62
    347  TEE SHIRT MAILLE               1526111                   1      83.17
    348  TEE SHIRT MAILLE               1526120                   1      83.17
    349  TEE SHIRT MAILLE               1526138                   1      83.17
    350  PANTALON TOILE                 1526979                   2     391.38
    351  PANTALON TOILE                 1526987                   2     391.38
    352  PANTALON TOILE                 1526995                   2     391.38
    353  PANTALON TOILE                 1527002                   2     391.38
    354  CHEMISIER CLASSIQUE            1536982                   2     293.54
    355  CHEMISIER CLASSIQUE            1536990                   2     293.54
    356  CHEMISIER CLASSIQUE            1537008                   2     293.54
    357  PANTALON EN LIN                1420607                   2     381.60
    358  PANTALON EN LIN                1420615                   3     572.40
    359  PANTALON EN LIN                1420623                   3     572.40
    360  PANTALON EN LIN                1420631                   1     190.80
    361  GILET GRAND PERE               1426133                   2     313.12
    362  GILET GRAND PERE               1426141                   1     156.56
    363  ROBE TRAPEZE                   1525344                   1     171.23
    364  ROBE TRAPEZE                   1525352                   1     171.23
    365  ROBE TRAPEZE                   1525360                   1     171.23
    366  ROBE TRAPEZE                   1525379                   1     171.23
    367  CULOTTE EXTENSIBLE             335258.                   2      71.98
    368  CULOTTE EXTENSIBLE             335266.                   2      71.98
    369  CULOTTE EXTENSIBLE             335274.                   2      71.98
    370  GAINE GROSSESSE                272779.                   1     150.63
    371  GAINE GROSSESSE                272787.                   1     150.63
